GFFermiconstant,LamIn,LamSIN,LamhS,MS,Mh,O_chnl:~Ss ~Ss -> Wp Wm,O_chnl:~Ss ~Ss -> Z Z,O_chnl:~Ss ~Ss -> d3 D3,O_chnl:~Ss ~Ss -> e3 E3,O_chnl:~Ss ~Ss -> g g,O_chnl:~Ss ~Ss -> u2 U2,Omega_h2,Zbosonpolemass,alphasMZSMMSbar,h0 ->  BBAR B,h0 ->  CBAR C,h0 ->  DBAR D,h0 ->  E+ E-,h0 ->  GLUE GLUE,h0 ->  MU+ MU-,h0 ->  PHOT PHOT,h0 ->  SBAR S,h0 ->  TAU+ TAU-,h0 ->  UBAR U,h0 ->  W- W+,h0 ->  Z0 Z0,h0 ->  ss ss,mbmbSMMSbar,mtaupole,mtoppole,muS2,neutron_SD,neutron_SI,proton_SD,proton_SI,O_chnl:~Ss ~Ss -> h h
1.16637e-05,0.26,0.0,0.0322459055,40.0,125.548349,0.0,0.0,0.826438,0.082373,0.046406,0.041969,1.19,91.1887,0.1187,0.115407102,0.00544378892,1.19785692e-07,1.03918979e-09,0.0177950283,4.64227117e-05,0.000547167916,4.30858506e-05,0.0134001036,2.29179094e-08,0.0462180046,0.00506662619,0.796032527,4.18,1.77669,173.5,-354.894108,0.0,1.55e-08,0.0,1.511e-08,0.0
1.16637e-05,0.26,0.0,0.0376939098,40.0,125.548349,0.0,0.0,0.826459,0.082375,0.046385,0.04197,0.884,91.1887,0.1187,0.0893447954,0.00421442182,9.27345721e-08,8.04510274e-10,0.0137763893,3.59391028e-05,0.000423601363,3.33558027e-05,0.0103739675,1.77423738e-08,0.0357806245,0.0039224335,0.84209436,4.18,1.77669,173.5,-685.177019,0.0,2.118e-08,0.0,2.065e-08,0.0
1.16637e-05,0.26,0.0,0.0440623643,40.0,125.548349,0.0,0.0,0.826481,0.082378,0.046362,0.041971,0.659,91.1887,0.1187,0.0682759299,0.00322059687,7.08663455e-08,6.1479448e-10,0.0105277066,2.74641142e-05,0.0003237097,2.54899956e-05,0.0079276277,1.35584514e-08,0.0273430075,0.00299746385,0.879330919,4.18,1.77669,173.5,-1071.26183,0.0,2.894e-08,0.0,2.822e-08,0.0
1.16637e-05,0.26,0.0,0.0515067808,40.0,125.548349,0.0,0.0,0.82659,0.082391,0.046251,0.041978,0.491,91.1887,0.1187,0.051636979,0.00243573238,5.35961063e-08,4.64968104e-10,0.00796208803,2.07710666e-05,0.00024482114,1.92780438e-05,0.00599565243,1.02542356e-08,0.0206794738,0.00226697722,0.908738163,4.18,1.77669,173.5,-1522.57637,0.0,3.955e-08,0.0,3.856e-08,0.0
1.16637e-05,0.26,0.0,0.0602089449,40.0,125.548349,0.0,0.0,0.826608,0.082394,0.046232,0.041979,0.366,91.1887,0.1187,0.038737256,0.00182724843,4.02069627e-08,3.48811817e-10,0.00597303422,1.55821301e-05,0.000183661,1.44620877e-05,0.00449784491,7.69256755e-09,0.0155134186,0.00170065094,0.931536793,4.18,1.77669,173.5,-2050.14131,0.0,5.404e-08,0.0,5.269e-08,0.0
1.16637e-05,0.26,0.0,0.0703813555,40.0,125.548349,0.0,0.0,0.826627,0.082396,0.046213,0.041981,0.272,91.1887,0.1187,0.0288790873,0.00136223554,2.99747712e-08,2.60043378e-10,0.00445296839,1.16166642e-05,0.00013692147,1.07816592e-05,0.00335319713,5.73490104e-09,0.011565439,0.0012678556,0.948959861,4.18,1.77669,173.5,-2666.83932,0.0,7.384e-08,0.0,7.2e-08,0.0
1.16637e-05,0.26,0.0,0.0822724134,40.0,125.548349,0.0,0.0,0.826627,0.082396,0.046213,0.041981,0.0,91.1887,0.1187,0.0214277123,0.00101075186,2.22406881e-08,1.9294705e-10,0.00330401458,8.61933535e-06,0.000101593026,7.99977815e-06,0.00248800603,4.25518329e-09,0.00858132725,0.000940723811,0.962129225,4.18,1.77669,173.5,-3387.72957,0.0,0.0,0.0,0.0,0.0
1.16637e-05,0.26,0.0,0.0961724871,39.9999999,125.548349,0.0,0.0,0.826645,0.082398,0.046194,0.041982,0.151,91.1887,0.1187,0.0158422127,0.000747282108,1.64432725e-08,1.42652102e-10,0.00244276669,6.37255823e-06,7.51110669e-05,5.91449921e-06,0.00183946472,3.14599701e-09,0.00634445759,0.000695508066,0.97200089,4.18,1.77669,173.5,-4230.41555,0.0,1.379e-07,0.0,1.344e-07,0.0
1.16637e-05,0.26,0.0,0.112421004,40.0000004,125.548349,0.0,0.0,0.826664,0.0824,0.046174,0.041983,0.112,91.1887,0.1187,0.0116814271,0.000551016556,1.21246251e-08,1.05186073e-10,0.00180120048,4.69887483e-06,5.53839587e-05,4.36112005e-06,0.00135634924,2.31973497e-09,0.00467815452,0.000512840405,0.979354553,4.18,1.77669,173.5,-5215.47484,0.0,1.884e-07,0.0,1.837e-07,0.0
1.16637e-05,0.26,0.0,0.131414736,39.9999998,125.548349,0.0,0.0,0.826674,0.082402,0.046165,0.041984,0.0834,91.1887,0.1187,0.00859634594,0.000405492315,8.92249469e-09,7.74062842e-11,0.00132550092,3.45789544e-06,4.0756978e-05,3.20934216e-06,0.000998135512,1.70708973e-09,0.00344264739,0.000377398539,0.984807044,4.18,1.77669,173.5,-6366.9617,0.0,2.574e-07,0.0,2.51e-07,0.0
